Issue Type,Epic Name,Summary,Description,Priority,Story Points,Sprint,Labels,Acceptance Criteria
Epic,,EPIC: Authentication & Navigation,Role-based login and protected route navigation for customers and admins.,High,,,,
Epic,,EPIC: Policy Management,Policy lookup and real-time coverage verification.,High,,,,
Epic,,EPIC: Claim Submission,End-to-end claim submission with full server-side validation.,Critical,,,,
Epic,,EPIC: Claim Tracking,Customer-facing claim status tracking and history timeline.,Medium,,,,
Epic,,EPIC: Admin Claim Review,Admin approval and rejection workflows with audit persistence.,Critical,,,,
Epic,,EPIC: Audit Trail,Admin audit trail view for claim status history.,Medium,,,,
Story,EPIC: Authentication & Navigation,US-12: Role-Based Login,"As a user, I want to log in by selecting my role (CUSTOMER or ADMIN) so that I can access the appropriate section of the application.",High,5,Sprint 1,auth;frontend,"1. Login page displays a role selector with CUSTOMER and ADMIN options.
2. Selecting CUSTOMER and clicking Login navigates to the customer dashboard.
3. Selecting ADMIN and clicking Login navigates to the admin dashboard.
4. Auth state is persisted in local storage using Zustand.
5. Clicking Logout clears auth state and redirects to login page."
Story,EPIC: Authentication & Navigation,US-13: Protected Route Navigation,"As an unauthenticated user, I want to be redirected to the login page when I try to access a protected route so that the system is secure.",High,5,Sprint 1,auth;frontend;routing,"1. Navigating to /dashboard while unauthenticated redirects to /login.
2. Navigating to /admin while unauthenticated redirects to /login.
3. Navigating to /admin as a CUSTOMER role redirects to an Unauthorised page.
4. After login, the user is returned to their intended destination."
Story,EPIC: Policy Management,US-01: Policy Lookup,"As a customer, I want to look up my insurance policy by policy number so that I can view my coverage details before submitting a claim.",High,5,Sprint 2,policy;frontend;backend,"1. A policy number input field is displayed on the PolicyLookupPage.
2. Entering a valid policy number and submitting shows the policy details.
3. The response includes policy number, customer ID, status, effective date, expiry date, and coverage limit.
4. Entering a non-existent policy number shows a 404 error message.
5. Entering an invalid format (not matching POL-XX000) shows a validation error before the API call fires.
6. The ACTIVE status is clearly highlighted in the policy card."
Story,EPIC: Policy Management,US-03: Real-time Policy Verification,"As a customer, I want to see my policy coverage details displayed in real time so that I know which claim types are available to me.",Medium,6,Sprint 2,policy;frontend;coverage,"1. Coverage types are displayed in a grid/list below the policy card.
2. Each coverage shows the claim type, coverage limit amount, and active/inactive status.
3. Inactive coverages are visually distinct (greyed out or marked inactive).
4. Coverage details are fetched in the same API call as the policy.
5. An empty state is shown if the policy has no coverages.
6. Inactive coverages are not selectable when submitting a claim."
Story,EPIC: Claim Submission,US-02: Submit Insurance Claim,"As a customer, I want to submit an insurance claim against my active policy so that I can request reimbursement for a covered loss.",Critical,8,Sprint 3,claim;submission;backend;frontend,"1. Claim submission form collects: policy number, claim type, amount, incident date, and description.
2. Submitting a valid claim returns 201 Created with the new claim ID and SUBMITTED status.
3. Submitting with a non-existent policy number returns 404 with message policy not found.
4. Submitting against a non-ACTIVE policy returns 422 with message policy not active.
5. Submitting a claim type not covered by the policy returns 422 with message coverage not found.
6. Submitting against an inactive coverage returns 422 with message coverage not active.
7. Submitting an amount exceeding the coverage limit returns 422 with message exceeds coverage limit.
8. Submitting with amount <= 0 returns 400 Bad Request.
9. Submitting with description shorter than 10 characters returns 400 Bad Request."
Story,EPIC: Claim Submission,US-04: Duplicate Claim Prevention,"As a system, I want to prevent duplicate claim submissions for the same policy and claim type within 24 hours so that the database is not polluted.",High,5,Sprint 4,claim;validation;backend,"1. Submitting a claim for the same policy and type within 24 hours returns 409 Conflict.
2. Submitting the same policy and type exactly 24 hours + 1 minute after the first submission returns 201.
3. Submitting a different claim type for the same policy within 24 hours returns 201.
4. The 409 error message clearly states why the submission was rejected."
