Issue Type,Summary,Description,Parent Summary,Priority,Labels,Sprint
Test,TC-01: Successful policy lookup,"Scenario: Successful policy lookup
  Given I am on the Policy Lookup page
  When I enter policy number ""POL-AB123""
  And I click Submit
  Then I should see the policy details with status ""ACTIVE""
  And I should see the coverage grid with coverage types and limits",US-01: Policy Lookup,High,gherkin;policy,Sprint 2
Test,TC-02: Policy number not found,"Scenario: Policy number not found
  Given I am on the Policy Lookup page
  When I enter policy number ""POL-XXXXXX""
  And I click Submit
  Then I should see an error message ""Policy not found""
  And the policy details card should not be displayed",US-01: Policy Lookup,High,gherkin;policy,Sprint 2
Test,TC-03: Invalid policy number format,"Scenario: Invalid policy number format
  Given I am on the Policy Lookup page
  When I enter ""invalid-number""
  And I click Submit
  Then I should see a validation error before any API call is made
  And the error should indicate the expected format",US-01: Policy Lookup,Medium,gherkin;policy;validation,Sprint 2
Test,TC-04: Successful claim submission,"Scenario: Successful claim submission with all valid data
  Given I am logged in as a CUSTOMER
  And policy ""POL-AB123"" is ACTIVE with MEDICAL coverage limit of 10000
  When I submit a claim with:
    | policyNumber   | POL-AB123             |
    | claimType      | MEDICAL               |
    | claimAmount    | 1500.00               |
    | incidentDate   | 2026-03-01            |
    | description    | Medical treatment after workplace accident |
  Then the response status should be 201 Created
  And the claim status should be ""SUBMITTED""
  And a ClaimHistory entry should exist with status SUBMITTED",US-02: Submit Insurance Claim,Critical,gherkin;claim;submission,Sprint 3
Test,TC-05: Claim submission with non-existent policy,"Scenario: Claim submission with non-existent policy number
  Given I am logged in as a CUSTOMER
  When I submit a claim with policy number ""POL-XXXXXX""
  Then the response status should be 404 Not Found
  And the error message should contain ""Policy not found""",US-02: Submit Insurance Claim,Critical,gherkin;claim;validation,Sprint 3
Test,TC-06: Claim submission with expired policy,"Scenario: Claim submission against expired policy
  Given policy ""POL-EF789"" has status EXPIRED
  When I submit a claim for policy ""POL-EF789""
  Then the response status should be 422 Unprocessable Entity
  And the error message should contain ""Policy is not active""",US-02: Submit Insurance Claim,Critical,gherkin;claim;validation,Sprint 3
Test,TC-07: Claim amount exceeds coverage limit,"Scenario: Claim amount exceeds coverage limit
  Given policy ""POL-AB123"" has MEDICAL coverage with limit 10000
  When I submit a MEDICAL claim for 10001
  Then the response status should be 422 Unprocessable Entity
  And the error message should contain ""Claim amount exceeds coverage limit""",US-02: Submit Insurance Claim,Critical,gherkin;claim;validation,Sprint 3
Test,TC-08: Claim with inactive coverage,"Scenario: Claim for inactive coverage type
  Given policy ""POL-AB123"" has VISION coverage with is_active = false
  When I submit a VISION claim
  Then the response status should be 422 Unprocessable Entity
  And the error message should contain ""Coverage is not active""",US-02: Submit Insurance Claim,High,gherkin;claim;coverage,Sprint 3
Test,TC-09: Claim submission with zero amount,"Scenario: Claim submission with zero amount
  When I submit a claim with claimAmount = 0
  Then the response status should be 400 Bad Request",US-02: Submit Insurance Claim,High,gherkin;claim;validation,Sprint 3
Test,TC-10: Claim submission with short description,"Scenario: Claim submission with description too short
  When I submit a claim with a 5-character description
  Then the response status should be 400 Bad Request",US-02: Submit Insurance Claim,Medium,gherkin;claim;validation,Sprint 3
Test,TC-11: Claim type not covered by policy,"Scenario: Claim type has no matching coverage on policy
  Given policy ""POL-CD456"" has only MEDICAL and DENTAL coverages
  When I submit a HOME claim against policy ""POL-CD456""
  Then the response status should be 422 Unprocessable Entity
  And the error message should contain ""Coverage type not found""",US-02: Submit Insurance Claim,High,gherkin;claim;coverage,Sprint 3
Test,TC-12: Dupilcate claim within 24 hours,"Scenario: Duplicate claim within 24 hours is rejected
  Given I submitted a MEDICAL claim for policy ""POL-AB123"" at T=0
  When I submit another MEDICAL claim for policy ""POL-AB123"" at T+1 hour
  Then the response status should be 409 Conflict
  And the error message should indicate a duplicate submission",US-04: Duplicate Claim Prevention,High,gherkin;claim;duplicate,Sprint 4
